#{"t_start": 1775311724.411631, "env_id": "None"}
r,l,t
35.94,12,32.208028
11.67,4,32.217653
9.367321,6,32.231339
35.23,13,32.260885
23.348393,9,32.282845
35.847143,7,32.298637
31.789167,8,32.318193
12.994167,6,32.331945
28.026316,17,32.371809
-1.06,4,32.381443
41.1475,9,32.401103
25.222333,5,32.414025
21.759554,9,32.434419
13.18,4,32.443652
13.314444,11,32.46825
11.720357,10,32.49368
12.72,9,32.514395
33.052167,12,32.541492
26.854889,9,32.562421
21.836667,6,32.578009
15.12,20,32.622625
8.686,5,32.634215
12.960714,11,32.659106
6.546429,14,32.786378
13.673333,9,32.805946
44.950714,15,32.840359
18.38,11,32.865049
24.546667,9,32.886979
-46.3525,5,32.899122
34.07,11,32.925056
38.188667,7,32.941298
36.754286,15,32.975714
13.92,14,33.010089
27.240357,13,33.040309
42.10719,14,33.074161
34.07875,13,33.106514
33.916842,9,33.129723
24.852143,20,33.177623
5.61,17,33.218427
19.287857,8,33.237494
35.501429,9,33.258706
25.225833,13,33.289465
19.549643,4,33.301196
-68.413929,5,33.313712
19.177333,4,33.325794
45.358333,9,34.071481
16.312105,13,34.101099
7.982,9,34.124713
21.614833,7,34.141516
35.74,12,34.169722
19.338,5,34.181917
38.428036,8,34.200344
23.816667,9,34.223452
42.48,9,34.244416
30.287857,11,34.268644
15.628036,4,34.278267
27.000268,6,34.292375
43.225893,10,34.315548
34.2225,7,34.334371
-12.66,2,34.340006
36.62,11,34.364981
38.581667,7,34.380561
44.144167,9,34.400689
33.505,8,34.418685
37.134667,8,34.43891
14.563665,20,34.483697
17.11,5,34.49668
21.738571,5,34.5078
23.36,6,34.52143
4.288222,9,34.544818
-8.886667,6,34.558844
40.816161,4,34.568971
32.092393,7,34.584831
40.153857,10,34.608356
53.042202,8,34.629837
22.47125,8,34.649249
46.3675,8,34.668053
38.582946,6,34.681602
37.4935,6,34.695746
40.064821,14,34.725875
48.161944,7,34.74465
10.691429,5,34.756701
34.830556,8,34.774747
18.428889,7,34.790665
21.6,10,34.81366
44.24984,10,34.83971
46.487768,7,34.856418
37.083684,12,34.884434
14.343333,10,34.907116
31.595789,10,34.930071
29.3575,9,34.953734
