#{"t_start": 1775311599.7773807, "env_id": "None"}
r,l,t
5.5,20,35.308592
-79.146667,20,35.348421
-0.3875,20,35.385677
3.58,20,35.425327
-0.555,20,35.466638
-7.03,1,35.467971
1.958857,20,35.506993
-9.01,7,35.519854
18.7475,20,35.560822
10.795,20,35.598656
17.8625,20,35.637632
-41.473333,20,35.676907
-20.001158,20,35.713215
-10.99,13,35.739753
-7.03,1,35.741012
2.856667,20,35.779427
-7.480893,20,35.82008
-10.643333,20,35.861511
3.910714,20,35.900931
1.101333,20,35.943008
5.261607,20,35.982874
19.000714,17,36.016
11.861786,20,36.058649
4.025714,2,36.061642
-8.154333,20,36.101316
-8.468421,20,36.139187
-24.863333,20,36.180607
28.165923,20,36.218986
22.352393,20,36.260622
21.665804,20,36.298948
-21.821429,20,36.339195
5.769667,20,36.381047
-10.435714,20,36.420155
-21.221429,20,36.460953
-10.831429,20,36.500022
-10.55,20,36.538658
7.488839,20,36.583459
-0.159474,20,36.625917
2.814667,20,36.667751
-10.663684,20,36.722069
-15.097143,20,36.765829
-0.107895,20,36.807641
0.96,20,36.847156
15.384972,20,36.88908
0.583333,20,36.932179
0.35,20,36.97173
1.151429,20,37.009879
5.285,20,37.05294
16.473214,20,37.098263
-4.010179,20,37.13757
-9.36,20,37.175505
-22.912857,20,37.213198
-23.3,20,37.253581
-0.153333,20,37.294437
-21.45,20,37.336372
-34.674,20,37.37404
10.97375,20,37.416463
-1.556,10,37.437735
10.142607,20,37.475602
8.188,16,37.508629
-9.258667,20,37.548043
-15.097143,20,37.590325
-8.9,20,37.636762
6.131429,20,37.679028
-44.586667,20,37.721571
-1.9,20,37.762705
6.870333,20,37.804234
3.338036,20,37.843452
-62.983333,20,37.883868
1.118452,20,37.92626
17.520536,20,37.965603
2.436333,20,38.006085
-7.36,2,38.009497
9.936,20,38.046935
-16.41,20,38.085068
3.227167,20,38.127353
-5.52,20,38.167239
-21.45,20,38.210933
-21.45,20,38.250766
-5.045,20,38.291063
15.558667,20,38.333569
-10.6,20,38.371942
15.786667,20,38.416333
20.86,14,38.444245
-20.85,20,38.482551
2.97,20,38.523136
-148.752,20,38.561632
-7.4,20,38.599334
-21.55,20,38.641344
5.752,20,38.6819
-18.017333,20,38.721559
6.691667,20,38.760581
-7.4,20,38.797675
29.862946,20,38.839965
-5.116667,20,38.876426
9.75875,20,38.913047
-12.9965,20,38.95451
-61.140804,20,38.99269
-82.983333,20,39.034364
-65.915,20,39.072421
0.154333,20,39.111984
-0.1675,20,39.154106
2.547857,2,39.156878
-3.973333,20,39.197948
