time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
534,20,712,-12.547834540000002,17.06,10816,0.4862399999999999,0.0005,2578,4.562809944152832,,
534,20,716,-12.225787279999999,17.19,10896,0.4824400000000001,0.0005,2598,2.6754722595214844,,
534,20,720,-11.149770150000002,16.94,10951,0.4798275000000001,0.0005,2612,1.6686668395996094,,
534,20,724,-10.31108357,16.75,11012,0.4769300000000001,0.0005,2627,3.10615873336792,,
534,20,728,-9.208907380000001,16.62,11077,0.47384250000000017,0.0005,2644,3.8208184242248535,,
534,20,732,-7.71157646,16.69,11145,0.4706125000000001,0.0005,2661,3.208873987197876,,
534,20,736,-8.22486873,16.83,11225,0.46681249999999996,0.0005,2681,3.5415029525756836,,
534,21,740,-8.932768600000001,16.68,11290,0.46372500000000005,0.0005,2697,3.8785288333892822,,
534,21,744,-8.72143655,16.73,11370,0.4599249999999999,0.0005,2717,5.408139228820801,,
534,21,748,-8.351730670000002,16.94,11450,0.4561250000000001,0.0005,2737,1.9984596967697144,,
534,21,752,-8.559894780000002,17.21,11530,0.452325,0.0005,2757,2.5167651176452637,,
534,21,756,-9.011083500000002,17.36,11610,0.4485250000000002,0.0005,2777,3.4012184143066406,,
534,21,760,-9.48975148,17.49,11690,0.44472500000000004,0.0005,2797,3.596681594848633,,
534,22,764,-9.49953572,17.45,11766,0.44111500000000015,0.0005,2816,3.643615484237671,,
534,22,768,-9.60042272,17.13,11812,0.43893000000000004,0.0005,2827,3.607661485671997,,
534,22,772,-8.80875216,16.68,11843,0.43745750000000017,0.0005,2835,2.2727341651916504,,
533,22,776,-9.723183549999998,16.47,11902,0.434655,0.0005,2850,5.053534507751465,,
533,22,780,-10.288109499999997,16.32,11967,0.4315675000000001,0.0005,2866,3.7815685272216797,,
533,22,784,-11.69472082,16.46,12025,0.42881250000000026,0.0005,2881,3.5873141288757324,,
533,22,788,-10.947887829999997,16.27,12061,0.42710250000000005,0.0005,2890,2.1040823459625244,,
533,22,792,-11.283453210000003,16.49,12140,0.42335,0.0005,2909,3.6141672134399414,,
533,22,796,-10.916541749999999,16.58,12220,0.4195500000000002,0.0005,2929,5.437707901000977,,
533,23,800,-11.212399909999998,16.67,12282,0.4166050000000001,0.0005,2945,4.711511611938477,,
533,23,804,-11.331997189999997,16.85,12362,0.412805,0.0005,2965,2.8011765480041504,,
533,23,808,-10.434365369999998,16.92,12436,0.40928999999999993,0.0005,2983,4.0128021240234375,,
533,23,812,-8.52132235,16.7,12486,0.40691500000000014,0.0005,2996,3.544970750808716,,
533,23,816,-8.804890239999999,16.64,12560,0.4034000000000001,0.0005,3014,3.0226964950561523,,
533,23,820,-11.80987239,16.89,12640,0.39959999999999996,0.0005,3034,1.4912590980529785,,
533,23,824,-10.71775773,16.98,12710,0.39627500000000004,0.0005,3052,2.9733095169067383,,
533,23,828,-11.627970440000002,17.08,12785,0.3927125,0.0005,3071,2.791797637939453,,
533,24,832,-12.168581270000002,17.2,12865,0.3889125000000001,0.0005,3091,2.1596145629882812,,
533,24,836,-10.7513696,16.77,12902,0.387155,0.0005,3100,2.8553876876831055,,
533,24,840,-9.93911092,16.78,12968,0.3840199999999999,0.0005,3116,3.7491676807403564,,
533,24,844,-9.118027689999998,16.74,13044,0.38041,0.0005,3135,3.3681910037994385,,
533,24,848,-9.35237887,16.74,13124,0.37661,0.0005,3155,3.103879690170288,,
533,24,852,-9.42944976,16.57,13187,0.37361750000000016,0.0005,3171,3.624614715576172,,
533,24,856,-8.74619397,16.5,13260,0.3701500000000001,0.0005,3189,2.58992862701416,,
533,25,860,-9.63033694,16.4,13330,0.3668250000000002,0.0005,3207,3.2840471267700195,,
533,25,864,-8.4166964,16.44,13410,0.36302500000000015,0.0005,3227,2.178375005722046,,
532,25,868,-8.75598347,16.78,13490,0.3592249999999999,0.0005,3247,3.3452138900756836,,
532,25,872,-10.58745977,17.27,13570,0.3554250000000002,0.0005,3267,2.63596773147583,,
532,25,876,-10.43757513,17.41,13643,0.35195750000000015,0.0005,3285,3.3146698474884033,,
532,25,880,-10.22272994,17.55,13722,0.348205,0.0005,3305,2.8877198696136475,,
532,25,884,-9.03832706,17.63,13788,0.3450700000000001,0.0005,3321,2.2336204051971436,,
532,26,888,-8.586093920000001,17.9,13851,0.3420774999999999,0.0005,3337,2.6212353706359863,,
532,26,892,-10.125001999999999,17.91,13931,0.3382775000000001,0.0005,3357,1.9450563192367554,,
532,26,896,-8.912671300000001,17.8,14000,0.33499999999999996,0.0005,3374,2.642019271850586,,
532,26,900,-9.09806129,17.79,14061,0.33210249999999997,0.0005,3390,3.727545976638794,,
532,26,904,-8.35136046,17.77,14139,0.3283975,0.0005,3409,3.3015995025634766,,
532,26,908,-8.5766506,17.77,14213,0.3248825000000002,0.0005,3428,3.064060688018799,,
531,26,912,-8.467487910000001,18.07,14293,0.32108250000000005,0.0005,3448,3.577986001968384,,
531,26,916,-9.084382160000002,17.84,14344,0.31866000000000005,0.0005,3460,2.4470672607421875,,
531,27,920,-6.747455490000002,17.84,14424,0.3148599999999998,0.0005,3480,3.0023558139801025,,
531,27,924,-7.568983950000001,17.94,14504,0.3110600000000001,0.0005,3500,3.0915937423706055,,
531,27,928,-6.242354010000001,17.99,14584,0.3072600000000002,0.0005,3520,3.601706027984619,,
531,27,932,-5.7094558200000005,17.99,14664,0.30346000000000006,0.0005,3540,2.2021284103393555,,
530,27,936,-5.539034749999998,18.42,14744,0.29966000000000004,0.0005,3560,3.1280391216278076,,
530,27,940,-5.977694280000001,18.56,14824,0.2958599999999999,0.0005,3580,3.5148303508758545,,
530,28,944,-6.741197970000002,18.6,14904,0.2920600000000001,0.0005,3600,2.5531957149505615,,
530,28,948,-7.14745267,18.6,14984,0.2882600000000002,0.0005,3620,3.1028735637664795,,
,,,,,15000,0.28754750000000007,0.0005,3624,2.5355637073516846,-12.530000000000001,20.0
525,28,952,-6.6395816100000005,18.52,15039,0.28564749999999994,0.0005,3634,3.387449026107788,,
525,28,956,-6.51898035,18.59,15119,0.28184750000000003,0.0005,3654,3.4102916717529297,,
525,28,960,-6.1875268000000005,18.58,15188,0.2785700000000001,0.0005,3671,2.1457486152648926,,
524,29,964,-5.17127466,18.58,15268,0.27476999999999985,0.0005,3691,2.7909512519836426,,
524,29,968,-4.7410058300000015,18.58,15348,0.27097000000000004,0.0005,3711,1.9104063510894775,,
524,29,972,-3.41164429,18.55,15425,0.26731250000000006,0.0005,3731,2.586517333984375,,
